#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
743.76516,10,1798.667723
737.995544,10,1801.533038
716.527245,10,1804.410492
765.457497,10,1807.275704
293.647125,10,1810.085551
663.565109,10,1813.495183
456.21492,10,1815.82298
301.675323,10,1819.068985
841.83638,10,1821.187391
412.537369,10,1823.537341
103.536743,10,1826.648921
242.756134,10,1829.070966
340.782112,10,1831.948417
468.093681,10,1834.619801
345.741035,10,1837.893816
469.599182,10,1840.287015
520.339157,10,1842.952559
388.827591,10,1845.854012
380.393929,10,1848.899264
359.037582,10,1851.343145
453.567284,10,1854.294534
472.63768,10,1856.483849
-172.789902,10,1858.266793
513.925438,10,1861.652653
530.461365,10,1863.471545
817.396507,10,1867.592867
614.983368,10,1868.489938
505.933754,10,1872.280858
547.980347,10,1875.162464
676.98909,10,1878.093034
869.68956,10,1879.977266
978.663208,10,1882.838155
914.222076,10,1886.37991
833.021355,10,1888.323101
773.515282,10,1891.888925
729.870712,10,1893.756609
867.624115,10,1897.38375
194.073212,10,1899.242049
695.966896,10,1902.091511
668.166061,10,1904.642072
635.216293,10,1907.37923
451.041359,10,1910.47555
-21.55603,10,1913.114152
252.948196,10,1915.930216
-183.092331,10,1918.640599
-238.585976,10,1921.526676
-31.798538,10,1923.843584
71.779053,10,1926.855814
117.352791,10,1929.211947
-11.270981,10,1932.146339
361.252701,10,1935.238292
115.487396,10,1937.96428
132.603714,10,1940.933003
289.875603,10,1943.368866
205.643631,10,1946.265232
-123.431702,10,1948.7426
349.856285,10,1951.680375
460.265221,10,1954.840591
460.487999,10,1957.156386
568.256279,10,1959.925729
643.85466,10,1962.384757
555.437225,10,1965.26209
1037.508575,10,1967.209351
584.043037,10,1970.97285
413.829361,10,1974.169959
541.152786,10,1976.459503
618.949631,10,1979.522263
700.466667,10,1981.938297
282.044106,10,1984.68898
233.521935,10,1987.251063
309.957893,10,1990.357828
460.595428,10,1993.080649
187.996582,10,1995.682467
260.580704,10,1998.21841
201.388397,10,2000.913612
467.238213,10,2003.983359
723.689827,10,2006.053149
97.993507,10,2008.017422
41.761253,10,2011.293478
761.434906,10,2012.995517
778.714912,10,2015.868546
