#{"t_start": 1746954317.2411087, "env_id": "None"}
r,l,t
0.0,10,28195.545197
0.0,10,28195.96677
0.0,10,28196.394147
0.0,10,28196.880572
0.0,10,28197.308437
0.0,10,28197.698064
0.0,10,28198.192376
0.0,10,28198.629842
0.0,10,28199.033164
0.0,10,28199.476791
0.0,10,28199.796817
0.0,10,28200.210479
0.0,10,28200.638661
0.0,10,28200.939826
0.0,10,28201.298481
0.0,10,28201.885026
0.0,10,28202.371418
0.0,10,28202.8854
0.0,10,28203.230237
0.0,10,28203.607795
0.0,10,28203.944311
0.0,10,28204.334356
0.0,10,28204.726668
0.0,10,28205.044457
0.0,10,28205.359174
0.0,10,28205.804195
0.0,10,28206.178771
0.0,10,28206.482761
0.0,10,28206.8862
0.0,10,28207.182055
0.0,10,28207.497995
0.0,10,28208.018487
0.0,10,28208.39718
0.0,10,28208.787677
0.0,10,28209.283214
0.0,10,28210.184749
0.0,10,28210.848378
0.0,10,28211.150028
0.0,10,28211.568445
0.0,10,28211.852031
0.0,10,28212.156528
0.0,10,28212.518668
0.0,10,28212.996648
0.0,10,28213.544226
0.0,10,28214.239811
0.0,10,28214.891747
0.0,10,28215.271249
0.0,10,28216.218183
0.0,10,28217.320044
0.0,10,28219.037677
0.0,10,28219.410078
0.0,10,28219.721348
0.0,10,28220.21524
0.0,10,28220.570891
0.0,10,28220.912912
0.0,10,28221.30992
0.0,10,28221.617469
0.0,10,28221.981744
0.0,10,28222.384388
0.0,10,28222.700945
0.0,10,28223.011755
0.0,10,28223.388003
0.0,10,28223.694783
0.0,10,28224.049294
0.0,10,28224.441092
0.0,10,28224.777909
0.0,10,28225.156596
0.0,10,28225.700348
0.0,10,28226.062613
0.0,10,28226.368578
0.0,10,28226.768694
0.0,10,28227.187908
0.0,10,28227.605445
0.0,10,28227.966983
0.0,10,28228.351517
0.0,10,28228.728967
0.0,10,28229.121856
0.0,10,28229.465719
0.0,10,28229.879144
0.0,10,28230.223766
0.0,10,28230.883229
0.0,10,28231.213174
0.0,10,28231.520472
0.0,10,28231.851224
0.0,10,28232.317373
0.0,10,28232.698178
0.0,10,28233.112417
0.0,10,28233.460471
0.0,10,28233.763951
0.0,10,28234.341981
0.0,10,28234.751814
0.0,10,28235.51088
0.0,10,28236.674873
0.0,10,28237.020448
0.0,10,28237.479877
0.0,10,28237.852773
0.0,10,28238.183083
0.0,10,28238.631005
0.0,10,28239.079939
0.0,10,28239.424785
0.0,10,28239.835282
0.0,10,28240.138517
0.0,10,28240.505133
0.0,10,28240.95071
0.0,10,28241.36789
0.0,10,28241.683069
0.0,10,28242.065854
0.0,10,28242.407252
0.0,10,28242.907871
0.0,10,28243.303571
0.0,10,28243.670707
0.0,10,28244.080448
0.0,10,28244.418558
0.0,10,28244.776352
0.0,10,28245.256288
0.0,10,28245.684863
0.0,10,28246.160076
0.0,10,28246.546782
0.0,10,28246.929398
0.0,10,28247.411745
0.0,10,28248.173566
0.0,10,28249.184959
0.0,10,28249.654114
0.0,10,28250.100842
0.0,10,28250.444024
0.0,10,28250.804832
0.0,10,28251.172041
0.0,10,28251.498747
0.0,10,28252.343058
0.0,10,28253.255146
0.0,10,28253.829177
0.0,10,28254.159709
0.0,10,28254.505169
0.0,10,28254.926813
0.0,10,28255.397867
0.0,10,28255.714508
0.0,10,28256.122257
0.0,10,28256.455532
0.0,10,28256.87385
0.0,10,28257.341899
0.0,10,28257.69282
0.0,10,28258.23022
0.0,10,28258.527871
0.0,10,28258.893758
0.0,10,28259.428837
0.0,10,28259.827278
0.0,10,28260.207183
0.0,10,28260.942585
0.0,10,28261.268547
0.0,10,28261.668336
0.0,10,28262.031067
0.0,10,28262.35938
0.0,10,28262.752354
0.0,10,28263.137108
0.0,10,28263.601467
0.0,10,28263.929573
0.0,10,28264.437356
0.0,10,28264.975307
0.0,10,28265.288778
0.0,10,28265.587166
0.0,10,28266.037352
0.0,10,28266.579484
0.0,10,28266.965835
0.0,10,28267.295076
0.0,10,28267.632439
0.0,10,28268.091586
0.0,10,28268.510389
0.0,10,28268.82263
0.0,10,28269.278704
0.0,10,28269.618599
0.0,10,28270.04857
0.0,10,28270.448379
0.0,10,28270.755564
0.0,10,28271.071068
0.0,10,28271.549999
0.0,10,28271.89838
0.0,10,28272.217992
0.0,10,28272.666058
0.0,10,28273.174798
0.0,10,28273.630923
0.0,10,28274.661592
0.0,10,28275.067905
0.0,10,28275.389219
0.0,10,28275.855552
0.0,10,28276.168207
0.0,10,28276.470866
0.0,10,28276.88045
0.0,10,28277.229989
0.0,10,28277.592221
0.0,10,28278.056603
0.0,10,28278.616754
0.0,10,28279.289612
0.0,10,28279.796957
0.0,10,28280.580254
0.0,10,28280.90921
0.0,10,28281.362444
0.0,10,28281.913669
0.0,10,28282.371349
